物品名称,文件类型,稀有度,等级,价格,物理攻击,魔法攻击,装备类型,武器类型,可用职业,技能增强,基础说明,文件路径
精 · 加持的禁锢之限短剑 : [鬼斩],equipment,5,70,0,0,61,weapon,,swordman,是,[鬼斩]大小 +12%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro82.equ
精 · 加持的神之怒击短剑 : [鬼斩],equipment,5,70,0,0,61,weapon,,swordman,是,[鬼斩]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro83.equ
精 · 加持的禁锢之限短剑 : [刀魂之卡赞],equipment,5,70,0,0,61,weapon,,swordman,是,[刀魂之卡赞]范围 +10%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro84.equ
精 · 加持的残忍之弑短剑 : [冰霜之萨亚],equipment,5,70,0,0,61,weapon,,swordman,是,[冰霜之萨亚]冷却时间 -18%% | [冰霜之萨亚]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro85.equ
精 · 加持的禁锢之限短剑 : [冰霜之萨亚],equipment,5,70,0,0,61,weapon,,swordman,是,[冰霜之萨亚]范围 +10%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro86.equ
精 · 加持的残忍之弑短剑 : [鬼影闪],equipment,5,70,0,0,61,weapon,,swordman,是,[鬼影闪]冷却时间 -18%% | [鬼影闪]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro87.equ
精 · 加持的神之怒击短剑 : [鬼影闪],equipment,5,70,0,0,61,weapon,,swordman,是,[鬼影闪]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro88.equ
精 · 加持的残忍之弑短剑 : [拔刀斩],equipment,5,70,0,0,61,weapon,,swordman,是,[拔刀斩]冷却时间 -18%% | [拔刀斩]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro89.equ
残忍之弑短剑 : [鬼斩],equipment,5,0,0,0,45,weapon,,swordman,是,[鬼斩]冷却时间 -14%% | [鬼斩]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro9.equ
精 · 加持的神之怒击短剑 : [拔刀斩],equipment,5,70,0,0,61,weapon,,swordman,是,[拔刀斩]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro90.equ
精 · 加持的残忍之弑短剑 : [破军升龙击],equipment,5,70,0,0,61,weapon,,swordman,是,[破军升龙击]冷却时间 -18%% | [破军升龙击]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro91.equ
精 · 加持的疾风之影短剑 : [破军升龙击],equipment,5,70,0,0,61,weapon,,swordman,是,[破军升龙击]突袭距离 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro92.equ
精 · 加持的残忍之弑短剑 : [猛龙断空斩],equipment,5,70,0,0,61,weapon,,swordman,是,[猛龙断空斩]冷却时间 -18%% | [猛龙断空斩]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro93.equ
精 · 加持的神之怒击短剑 : [猛龙断空斩],equipment,5,70,0,0,61,weapon,,swordman,是,[猛龙断空斩]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro94.equ
精 · 加持的残忍之弑短剑 : [幻影剑舞],equipment,5,70,0,0,61,weapon,,swordman,是,[幻影剑舞]冷却时间 -18%% | [幻影剑舞]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro95.equ
精 · 加持的神之怒击短剑 : [幻影剑舞],equipment,5,70,0,0,61,weapon,,swordman,是,[幻影剑舞]攻击力 +18%% | [钝器精通]下[幻影剑舞]的冲击波攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro96.equ
精 · 加持的时光之袭短剑 : [鬼印珠],equipment,5,70,0,0,61,weapon,,swordman,是,[鬼印珠]多段攻击间隔 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro97.equ
精 · 加持的秘技之境短剑 : [鬼印珠],equipment,5,70,0,0,61,weapon,,swordman,是,[鬼印珠]多段攻击次数 +2 | [鬼印珠]攻击力 -1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro98.equ
精 · 加持的禁锢之限短剑 : [鬼印珠],equipment,5,70,0,0,61,weapon,,swordman,是,[鬼印珠]珠子大小 +11%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_2choro99.equ
裂魂之异次元短剑 - 鬼泣,equipment,5,70,0,0,63,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro1.equ
冽风之痕短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro10.equ
七伤剑气短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro11.equ
天之剑痕短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro12.equ
潜龙幻影短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro13.equ
遗忘者的远古短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro2.equ
黑暗之魂短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro3.equ
夜叉王的降神短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro4.equ
裂魂之异次元短剑 - 阿修罗,equipment,5,70,0,0,63,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro5.equ
虚空之怒波短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro6.equ
终结之波动短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro7.equ
大地之裂波短剑,equipment,5,70,0,0,68,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro8.equ
裂魂之异次元短剑 - 剑魂,equipment,5,70,0,0,63,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_3choro9.equ
祭坛执掌者之剑,equipment,2,65,93800,0,42,weapon,,"swordman, creator mage",是,[波动斩]技能Lv +2 | [暗影囚杀]技能Lv +1,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_altarmaster.equ
奥尔顿短剑,equipment,1,65,65000,0,39,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_alton.equ
破旧的奥尔顿短剑,equipment,0,65,45500,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_alton_sb.equ
艾特兰的凝视短剑,equipment,2,60,86800,0,39,weapon,,"swordman, creator mage",否,攻击时， 有2%%的几率使敌人进入石化状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_atrum.equ
骑士佩剑,equipment,2,35,800000,0,24,weapon,,"swordman, creator mage",否,攻击时， 有1%%的几率使敌人进入眩晕状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_baron.equ
巴恩的短剑,equipment,4,50,91200,0,39,weapon,,"swordman, creator mage",是,[崩山击]冲击波范围 +200%% | [跃空斩]冲击波范围 +200%% | [自动格挡]几率 +50%% | [自动招架]几率 +50%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_bhan.equ
(古老) 疾风剑,equipment,2,18,28000,0,14,weapon,,"swordman, creator mage",否,攻击速度 +3%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_breeze.equ
(古老) 青铜剑,equipment,1,22,22000,0,14,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_bronze.equ
破损的铁剑,equipment,0,1,700,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_damaged.equ
深海之士兵短剑,equipment,2,65,93800,0,42,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_deepseaq.equ
普通短剑,equipment,0,1,700,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_default.equ
仿制短剑,equipment,0,1,700,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_dummy.equ
普通短剑,equipment,4,55,96000,0,17,weapon,,swordman,否,攻击时， 附加30%%的伤害。 (在决斗场中无效),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_eleno.equ
帝国短剑,equipment,2,9,14000,0,8,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_empire.equ
诺顿的铸剑,equipment,2,15,1,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_failroton.equ
信仰之力钛剑,equipment,2,43,61600,0,29,weapon,,"swordman, creator mage",是,[汲魂之力]技能Lv +1 |   | 攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_faith.equ
(古老) 生锈的青铜剑,equipment,0,22,15400,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_fbronze.equ
蓝冰弯月剑,equipment,2,45,65800,0,30,weapon,,"swordman, creator mage",是,攻击时， 有3%%的几率出现冰冻针刺。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_frostbringer.equ
(古老) 闪耀的青铜剑,equipment,1,23,23000,0,14,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_gbronze.equ
(古老) 卡露亚的教导 - 裂风,equipment,3,35,65600,0,29,weapon,,"swordman, creator mage",否,攻击速度 +5%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_goraswift.equ
G.S.D的古剑,equipment,1,20,20000,0,12,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_gsd.equ
G.S.D的究极波动刃,equipment,4,50,91200,0,39,weapon,,"swordman, creator mage",是,[冰刃·波动剑]小冰柱持续时间 +5%% | [冰刃·波动剑]小冰柱生成数 +2%% | [冰刃·波动剑]冰冻几率 +100%% | [格挡]无冷却时间 | [招架]无冷却时间 | [自动格挡]冷却时间 +50%% | [自动格挡]发动几率 +100% | [自动格挡]持续时间 +50%% | [自动招架]冷却时间 +50%% | [自动招架]发动几率 +100% | [自动招架]持续时间 +50%% | [逆转反击]施放几率 +100%% | [暗天波动眼]冷却时间增加1万倍 | [暗天波动眼]持续时间增加1万倍 | [波动眼·天照]冷却时间 -2.5秒 | [波动剑·光翼]冷却时间 -1秒 | [波动剑·闪枪]冷却时间 -3秒,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_gsdwave.equ
碎风乱波剑,equipment,4,45,0,0,35,weapon,,"swordman, creator mage",是,[波动斩]技能Lv +3 | [连环斩]技能Lv +3 |   | Y轴移动速度 +50%% | 攻击速度 +3%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_gwavewind.equ
赫顿士兵短剑,equipment,1,60,60000,0,36,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_handon.equ
破旧的赫顿士兵短剑,equipment,0,60,42000,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_handon_used.equ
狱岩石短剑,equipment,2,50,75600,0,38,weapon,,"swordman, creator mage",是,[极 · 驭剑术 (时空斩)]技能Lv +1 | [空绝斩 : 千刃]技能Lv +1 | [花开寒影]技能Lv +1 | [末日杀戮]技能Lv +1 | [沉寂之狱]技能Lv +1 |   | 攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_hellkarium.equ
高科技士兵短剑,equipment,2,60,86800,0,39,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_hightechq.equ
远古逆袭之突刺剑,equipment,2,55,82600,0,44,weapon,,"swordman, creator mage",是,施放技能时， 有4%%的几率使自身增加30点智力， 效果持续30秒。 | 攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_historybattle.equ
(古老) 苍月剑,equipment,2,29,43400,0,21,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_hoihoi.equ
天神怒炎剑,equipment,2,50,75600,0,35,weapon,,"swordman, creator mage",是,[释魂狂怒]技能Lv +1 | [暗影蓄能]技能Lv +1 |   | 攻击时， 有3%%的几率出现火焰爆炸。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_ignition.equ
高科技士兵短剑,equipment,2,63,91000,0,41,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_illusionq.equ
不屈之志哨兵侍剑,equipment,2,46,65800,0,30,weapon,,"swordman, creator mage",否,攻击速度 -1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_indomitable.equ
万剑之王 - 西方之焰,equipment,4,55,99200,0,42,weapon,,"swordman, creator mage",是,[魔性之短剑精通]技能Lv +1 |   | 物品快捷栏内的每一把短剑使角色增加5%%攻击力和0.5%%攻击速度。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_iniesta.equ
黑铁剑,equipment,1,5,5000,0,3,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_iron.equ
古老的丹砂剑,equipment,2,40,0,0,27,weapon,,"swordman, creator mage",否,无法进行强化、 增幅、 分解和赠送。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_jumping.equ
武士斗剑,equipment,2,25,300000,0,18,weapon,,"swordman, creator mage",否,攻击时， 有2%%的几率使敌人进入减速状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_knight.equ
新式短剑,equipment,1,11,11000,0,7,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_nshort.equ
精致的铁剑,equipment,1,7,7000,0,5,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_nsteel.equ
(古老) 紫薇星剑,equipment,3,20,41600,0,20,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_orchid.equ
黄金短剑,equipment,2,65,93800,0,42,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_pamorkeris.equ
远古青铜剑,equipment,2,5,8400,0,6,weapon,,"swordman, creator mage",是,[波动斩]技能Lv +1,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_rare.equ
真·波动摄魔剑,equipment,2,62,89600,0,41,weapon,,"swordman, creator mage",是,攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_ratrum_jin.equ
精炼的钢剑,equipment,1,15,15000,0,9,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_refsteel.equ
生锈的铁剑,equipment,0,3,2100,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_riron.equ
(古老) 卢克西的紫炎波刃剑,equipment,3,25,49600,0,23,weapon,,"swordman, creator mage",否,攻击时， 有1%%的几率使敌人进入出血状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_roxykris.equ
真·黄金短剑,equipment,2,67,96600,0,44,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_rpamorkeris_jin.equ
生锈的短剑,equipment,0,10,7000,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_rshort.equ
命运之殇波刃骨剑,equipment,2,38,54600,0,26,weapon,,"swordman, creator mage",否,对人型怪敌人的伤害 +50 | 对不死族敌人的伤害 +50,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_sadfate.equ
四辰斩邪剑,equipment,3,55,97600,0,41,weapon,,"swordman, creator mage",否,施放[鬼斩]、 [暗黑斩]、 [月光斩]、 [地裂·波动剑]、 [邪光斩]、 [暗影斩]、 [暗月斩]、 [暗影之矛]、 [暗影·波动剑]、 [冥光斩]、 [魅影暗魂斩]时， 有50%%的几率发动提升Lv5的该技能。 (无法超出该技能的Lv上限),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_sajinchamsa.equ
雷鸣剑 - 坎亚,equipment,4,55,96000,0,17,weapon,,swordman,是,[冰霜之萨亚]范围 +30px |     攻击时， 有3%%的几率出现冰冻针刺。 (在决斗场中无效),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_shabanteice.equ
戾波之尖啸,equipment,4,55,0,0,42,weapon,,"swordman, creator mage",是,[地裂·波动剑]伤害 +10%% | [冰刃·波动剑]伤害 +10%% | [爆炎·波动剑]伤害 +10%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_shockwave.equ
短剑,equipment,1,10,10000,0,6,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_short.equ
(古老) 艾米丽的银妆刀,equipment,2,32,47600,0,23,weapon,,"swordman, creator mage",否,对不死族敌人的攻击力 +150%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_silveremilie.equ
(古老) 春阳融雪剑,equipment,2,22,33600,0,17,weapon,,"swordman, creator mage",是,攻击时， 有2%%的几率使敌人进入睡眠状态。 | 这时， 有5%%的几率使自身也进入睡眠状态并恢复100点HP。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_springfever.equ
圣鹰之剑,equipment,2,45,65800,0,30,weapon,,"swordman, creator mage",是,攻击时， 有2%%的几率使敌人进入混乱状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_steagle.equ
钢剑,equipment,1,14,14000,0,9,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_steel.equ
泰拉石短剑,equipment,3,60,104000,0,49,weapon,,"swordman, creator mage",否,攻击时， 有1%%的几率使自身增加10%%的移动速度、 攻击速度和施放速度； 并减少自身10%%的装备防御力， 效果持续30秒。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_teranite.equ
(古老) 泰拉石短剑,equipment,3,60,104000,0,49,weapon,,"swordman, creator mage",否,攻击时， 有1%%的几率使自身增加10%%的移动速度、 攻击速度和施放速度； 并减少自身10%%的装备防御力， 效果持续30秒。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_teranite_up.equ
雷鸣剑 - 坎亚,equipment,4,55,99200,0,42,weapon,,"swordman, creator mage",否,攻击时， 有3%%的几率使敌人进入感电状态。 |     攻击时， 有3%%的几率出现闪电。 (在决斗场中无效),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_thunderkanya.equ
(古老) 震波剑,equipment,2,38,56000,0,26,weapon,,"swordman, creator mage",是,攻击时， 有2%%的几率使敌人进入眩晕状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_ushock.equ
破旧的钢剑,equipment,0,14,9800,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_usteel.equ
(古老) 丹砂剑,equipment,2,35,51800,0,24,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_vermilion.equ
波动摄魔剑,equipment,2,60,86800,0,39,weapon,,"swordman, creator mage",是,攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\sswd_waveattack.equ
(古老) 宽刃剑,equipment,1,42,42000,0,26,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\xiphos.equ
(古老) 古老的宽刃剑,equipment,0,42,29400,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\ssword\xiphos_old.equ
万剑归宗光环,equipment,0,1,0,130,130,aurora avatar,,all,是,最终伤害 +12%% |   |     穿戴后， 若要穿戴其他光环， 脱掉后需要小退一下才可以正常显示其他光环外观。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\401590058.equ
绿色游标(男鬼剑士),equipment,0,1,0,0,0,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\aura_2785023.equ
橘色游标(男鬼剑士),equipment,0,1,0,25,25,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\aura_2785024.equ
仗剑万里行,equipment,0,1,0,100,100,aurora avatar,,all,是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_401590101.equ
无形 : 奔流之势,equipment,0,1,0,150,150,aurora avatar,,all,是,最终伤害 +12%% | 技能攻击力 +10%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_401590114.equ
龙族的威严 (男鬼剑士1),equipment,0,1,0,15,15,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_101590011.equ
龙族的威严 (男鬼剑士2),equipment,0,1,0,15,15,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_101590012.equ
龙族的威严 (男鬼剑士3),equipment,0,1,0,15,15,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_101590013.equ
龙族的威严 (男鬼剑士4),equipment,0,1,0,15,15,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_101590014.equ
妖精的加护 [彩虹剑],equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_101590107.equ
皇室荣誉之光 1 (鬼剑士),equipment,0,1,0,0,0,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_2748000.equ
皇室荣誉之光 2 (鬼剑士),equipment,0,1,0,0,0,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_2748001.equ
皇室荣誉之光 3 (鬼剑士),equipment,0,1,0,0,0,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_2748002.equ
皇室荣誉之光 4 (鬼剑士),equipment,0,1,0,0,0,aurora avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\aura\chn_equ_special_avatar_swordman_aura_2748003.equ
坐骑 - 鬼剑士A,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\101531264.equ
坐骑 - 鬼剑士B,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\101531265.equ
坐骑 - 鬼剑士C,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\101531266.equ
怒海霸主红色佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530048.equ
怒海霸主黑色佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530049.equ
怒海霸主白色佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530050.equ
怒海霸主棕色佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530051.equ
剑神定风波腰带[A款],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530058.equ
剑神定风波腰带[B款],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530059.equ
剑神定风波腰带[C款],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530060.equ
剑神定风波腰带[D款],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530061.equ
